antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'chest_pain_type_Typical angina', 'target_0'})",frozenset({'exercise_induced_angina_Yes'}),0.36585365853658536,0.33658536585365856,0.24682926829268292,0.6746666666666666,2.0044444444444443,1.0,0.12368828078524687,2.039184326269492,0.7902097902097902,0.5417558886509637,0.5096078431372549,0.704
frozenset({'exercise_induced_angina_Yes'}),"frozenset({'chest_pain_type_Typical angina', 'target_0'})",0.33658536585365856,0.36585365853658536,0.24682926829268292,0.7333333333333333,2.0044444444444443,1.0,0.12368828078524687,2.3780487804878043,0.7553475935828877,0.5417558886509637,0.5794871794871794,0.704
"frozenset({'exercise_induced_angina_Yes', 'fasting_blood_sugar_Lower than 120 mg/ml'})","frozenset({'chest_pain_type_Typical angina', 'target_0'})",0.2780487804878049,0.36585365853658536,0.20097560975609757,0.7228070175438597,1.9756725146198832,1.0,0.09925044616299822,2.2877431305958633,0.6840396221464182,0.4537444933920705,0.5628879892037787,0.6360701754385965
"frozenset({'chest_pain_type_Typical angina', 'target_0'})","frozenset({'exercise_induced_angina_Yes', 'fasting_blood_sugar_Lower than 120 mg/ml'})",0.36585365853658536,0.2780487804878049,0.20097560975609757,0.5493333333333333,1.9756725146198828,1.0,0.09925044616299822,1.601962765189782,0.7787528005974607,0.4537444933920705,0.37576576576576576,0.6360701754385965
frozenset({'exercise_induced_angina_Yes'}),"frozenset({'chest_pain_type_Typical angina', 'target_0', 'fasting_blood_sugar_Lower than 120 mg/ml'})",0.33658536585365856,0.304390243902439,0.20097560975609757,0.5971014492753624,1.961631363805277,1.0,0.09852230814991078,1.7265134234076154,0.7389348943460881,0.4567627494456763,0.42079801613919554,0.6286789297658864
"frozenset({'chest_pain_type_Typical angina', 'target_0', 'fasting_blood_sugar_Lower than 120 mg/ml'})",frozenset({'exercise_induced_angina_Yes'}),0.304390243902439,0.33658536585365856,0.20097560975609757,0.6602564102564104,1.961631363805277,1.0,0.09852230814991078,1.9526921306948921,0.7047345415923421,0.4567627494456763,0.48788650075414797,0.6286789297658864
"frozenset({'oldpeak_Low', 'thalassemia_Fixed Defect'})","frozenset({'target_1', 'sex_Female'})",0.48585365853658535,0.22048780487804878,0.20878048780487804,0.42971887550200805,1.9489462273874258,1.0,0.10165568114217727,1.3668911027138442,0.9470109418503608,0.4196078431372549,0.26841282526853344,0.6883107651846323
"frozenset({'target_1', 'sex_Female'})","frozenset({'oldpeak_Low', 'thalassemia_Fixed Defect'})",0.22048780487804878,0.48585365853658535,0.20878048780487804,0.9469026548672566,1.9489462273874256,1.0,0.10165568114217727,9.683089430894293,0.6246242382417274,0.4196078431372549,0.8967271750264477,0.6883107651846323
frozenset({'chest_pain_type_Typical angina'}),"frozenset({'exercise_induced_angina_Yes', 'target_0', 'fasting_blood_sugar_Lower than 120 mg/ml'})",0.4848780487804878,0.2146341463414634,0.20097560975609757,0.4144869215291751,1.9311322480336568,1.0,0.09690422367638313,1.3413293102003188,0.9360289791115035,0.40313111545988267,0.25447092492845275,0.6754252789464057
"frozenset({'exercise_induced_angina_Yes', 'target_0', 'fasting_blood_sugar_Lower than 120 mg/ml'})",frozenset({'chest_pain_type_Typical angina'}),0.2146341463414634,0.4848780487804878,0.20097560975609757,0.9363636363636364,1.9311322480336566,1.0,0.09690422367638313,8.094773519163768,0.6139419887836942,0.40313111545988267,0.8764634986225897,0.6754252789464057
